               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,             0.04621,            0.028338,            0.015515,             0.27325,                0.75,             0.42794,             0.19598,            0.026757,            0.014176,            0.016552,            0.004654,            0.004654,            0.004654
                  56,             0.04316,            0.030726,            0.017236,             0.27325,                0.75,             0.42794,             0.19598,            0.026757,            0.014176,            0.016552,            0.004555,            0.004555,            0.004555
                  57,            0.040823,            0.024125,            0.018546,             0.31639,             0.66667,             0.44939,             0.25449,            0.023354,            0.013812,            0.016248,            0.004456,            0.004456,            0.004456
                  58,            0.041094,            0.028479,            0.016859,             0.29533,             0.73208,             0.45831,             0.19194,            0.026479,            0.013525,            0.015964,            0.004357,            0.004357,            0.004357
                  59,            0.041564,             0.02936,            0.015763,             0.35588,             0.66667,             0.53162,             0.29336,            0.025865,            0.013668,            0.016133,            0.004258,            0.004258,            0.004258
                  60,            0.040806,            0.028846,            0.014886,             0.35588,             0.66667,             0.53162,             0.29336,            0.025865,            0.013668,            0.016133,            0.004159,            0.004159,            0.004159
                  61,            0.038443,            0.026634,            0.016218,             0.35085,             0.66667,             0.43946,             0.29613,            0.023158,            0.013405,            0.016141,             0.00406,             0.00406,             0.00406
                  62,            0.037938,            0.028962,            0.016334,             0.35383,             0.60866,             0.49624,             0.22688,            0.025268,             0.01341,            0.016047,            0.003961,            0.003961,            0.003961
                  63,            0.035984,            0.028427,            0.013797,             0.61928,             0.66635,             0.64712,             0.24588,            0.027346,            0.013456,            0.014884,            0.003862,            0.003862,            0.003862
                  64,            0.039052,             0.02638,             0.01144,             0.61928,             0.66635,             0.64712,             0.24588,            0.027346,            0.013456,            0.014884,            0.003763,            0.003763,            0.003763
                  65,            0.039405,            0.027478,            0.012631,             0.45626,             0.58333,             0.50009,             0.26957,            0.024638,            0.013742,            0.015329,            0.003664,            0.003664,            0.003664
